id;api_area;endpoint;http_method;error_code;problem;customer_message_example;root_cause;solution;client_response_template;tags
1;Authentication API;/auth/token;POST;401 Unauthorized;Invalid credentials при получении access token;Получаем 401 при вызове /auth/token, хотя client_id и client_secret передаем.;"Неверный или истекший client_secret; также возможна ошибка в client_id или окружении";"Проверить client_id/client_secret, окружение sandbox/prod, дату истечения секрета; при необходимости перевыпустить client_secret.";Здравствуйте! По описанию ошибка 401 при получении токена чаще всего связана с некорректными или истекшими учетными данными. Пожалуйста, проверьте, что client_id и client_secret относятся к нужному окружению, и что secret не был отозван или просрочен. При необходимости рекомендуем перевыпустить client_secret и повторить запрос.;"auth;token;401;credentials"
2;Authentication API;/auth/token;POST;400 Bad Request;Unsupported grant_type;При запросе токена получаем 400: unsupported grant_type.;Передан неподдерживаемый grant_type или параметр назван с ошибкой;"Проверить значение grant_type согласно документации; для client credentials использовать client_credentials; проверить Content-Type.";Здравствуйте! Ошибка unsupported grant_type означает, что API не распознал переданный тип авторизации. Проверьте, пожалуйста, значение параметра grant_type и формат запроса. Для сценария client credentials обычно используется grant_type=client_credentials. Также убедитесь, что Content-Type соответствует требованиям документации.;"auth;token;400;grant_type"
3;Orders API;/orders;POST;400 Bad Request;Required field is missing;При создании заказа POST /orders получаем ошибку, что customerId отсутствует, хотя мы его передаем.;"Несовпадение имени поля между версиями API; например customerId вместо customer_id";"Проверить версию API и схему payload; использовать корректное имя обязательного поля; сверить JSON с актуальной документацией.";Здравствуйте! По описанию проблема может быть связана с форматом тела запроса или названием обязательного поля. Пожалуйста, проверьте версию API и актуальную схему payload. В некоторых версиях поле может называться customer_id, а не customerId. Рекомендуем сверить запрос с документацией и повторить вызов.;"orders;400;validation;required_field"
4;Orders API;/orders/{orderId};GET;404 Not Found;Order not found;GET /orders/{orderId} возвращает 404, хотя заказ был создан ранее.;Запрос выполняется в другом окружении или используется внешний id вместо внутреннего orderId;"Проверить окружение, тип идентификатора, статус создания заказа; убедиться, что используется orderId из ответа POST /orders.";Здравствуйте! Ошибка 404 означает, что заказ с указанным идентификатором не найден в текущем окружении. Пожалуйста, проверьте, что запрос выполняется в том же окружении, где заказ был создан, и что используется именно orderId из ответа на создание заказа, а не внешний идентификатор клиента.;"orders;404;order_id;environment"
5;Payments API;/payments;POST;409 Conflict;Duplicate transaction;При повторной отправке платежа получаем 409 duplicate transaction.;Повторно используется тот же idempotency_key или transaction_id;"Для нового платежа использовать новый idempotency_key; для повтора того же платежа проверить статус исходной операции.";Здравствуйте! Код 409 обычно означает конфликт, например повторную отправку операции с тем же idempotency_key или transaction_id. Если это новый платеж, используйте новый ключ идемпотентности. Если это повтор исходного запроса, рекомендуем сначала проверить статус уже созданной операции.;"payments;409;duplicate;idempotency"
6;Payments API;/payments/{paymentId};GET;202 Accepted;Payment still processing;Статус платежа долго остается processing, что делать?;Платеж еще обрабатывается асинхронно на стороне провайдера или банка;"Рекомендовать polling с разумным интервалом; проверить callback/webhook; эскалировать если превышен SLA обработки.";Здравствуйте! Статус processing означает, что платеж еще находится в обработке. Рекомендуем проверять статус с разумным интервалом или использовать webhook/callback, если он настроен. Если статус не изменится дольше заявленного SLA, пришлите paymentId и timestamp запроса — мы передадим кейс на дополнительную проверку.;"payments;202;processing;async"
7;Webhooks API;/webhooks/payment-status;POST;200 OK;Webhook не приходит клиенту;Мы не получаем webhook о статусе платежа, хотя платеж успешно завершен.;Некорректный callback URL; недоступность endpoint клиента; ошибка TLS или firewall;Проверить URL webhook, доступность endpoint извне, TLS-сертификат, allowlist IP, логи доставки webhook.;Здравствуйте! Если webhook не поступает, сначала проверьте, пожалуйста, корректность callback URL и доступность вашего endpoint извне. Также важно убедиться, что TLS-сертификат валиден, firewall не блокирует входящие запросы, а IP-адреса сервиса добавлены в allowlist, если он используется. Мы также рекомендуем проверить логи доставки webhook.;"webhooks;callback;tls;firewall"
8;Rate Limiting;All endpoints;ANY;429 Too Many Requests;Превышен лимит запросов;Начали получать 429 Too Many Requests при массовой отправке запросов.;Превышены rate limits по клиенту; токену или endpoint;Снизить частоту запросов, добавить retry with exponential backoff, учитывать Retry-After header, запросить повышение лимита при необходимости.;Здравствуйте! Ошибка 429 означает превышение лимита запросов. Пожалуйста, уменьшите частоту вызовов и добавьте механизм повторов с exponential backoff. Если в ответе присутствует header Retry-After, используйте его значение перед повторной отправкой. При стабильной потребности в большем лимите можно оформить запрос на повышение квоты.;"rate_limit;429;retry;backoff"
9;Files API;/files/upload;POST;413 Payload Too Large;Файл слишком большой;При загрузке файла получаем 413 Payload Too Large.;Размер файла превышает допустимый лимит API или gateway;"Проверить максимальный размер файла в документации; сжать файл, разбить на части или использовать multipart/chunk upload, если поддерживается.";Здравствуйте! Код 413 означает, что размер передаваемого файла превышает допустимый лимит. Пожалуйста, проверьте максимальный размер файла в документации. Возможные варианты решения — уменьшить размер файла, сжать его или использовать chunk/multipart upload, если этот механизм доступен для вашего сценария.;"files;upload;413;payload"
10;General API;All endpoints;ANY;500 Internal Server Error;Внутренняя ошибка сервера;Получаем 500 Internal Server Error без понятного описания причины.;"Внутренняя ошибка сервиса; возможна временная проблема или некорректный edge-case в запросе";"Собрать request_id/correlation_id, timestamp, endpoint, payload без чувствительных данных; проверить status page; передать на расследование.";Здравствуйте! Ошибка 500 указывает на внутреннюю ошибку сервиса. Для проверки, пожалуйста, пришлите request_id или correlation_id, точное время запроса, endpoint и пример payload без чувствительных данных. Мы проверим логи по указанному идентификатору и вернемся с результатами анализа.;"server_error;500;request_id;logs"
